"building","numTestDays","numTrainDays","IDS","WD","WM","WS","KNN","EnsRF","EnsRFpb","EnsRFglobal"
"ALM","14","28","0.20646230646534","0.308559889815353","1.25285368020601","0.213302645733127","0.205066261983363","0.205871290795094","0.222668601267671","0.2279348835608"
"ASC","13","25","0.132314356791304","0.11790170716957","0.176004615573736","0.0956119321045314","0.0981961604877429","0.0854520700693003","0.0908841296957605","0.0917438889050534"
"BHE","3","6","0.107491069973802","0.143890187401678","0.119940117276432","0.0812005698257098","0.0744265253705153","0.119040358115726","0.127335626166389","0.105900025172207"
"BKS","5","10","0.0845323711271176","0.0989788288961053","0.162870771919839","0.0824780669941787","0.0783842973857794","0.0827030542722768","0.0722524874402149","0.0783811482998569"
"BRI","10","20","0.111177965615611","0.164770723995308","0.143809202788308","0.0915797028951484","0.0920125847976062","0.100647380645277","0.106050249702693","0.102359395430044"
"DRB","11","21","0.115335603853115","0.1311440185138","0.192693766260335","0.0616794092992737","0.0837180936840806","0.075990371950914","0.0819728926556683","0.0814412006861162"
"EEB","4","8","0.138428557172728","0.206496023638876","0.263449183411297","0.104969113907741","0.0844599300735456","0.100047192122769","0.145716500169575","0.129714807555625"
"GFS","12","23","0.107576445336005","0.21003682577037","0.307326118847446","0.177827844781938","0.184363868260319","0.176570572782477","0.184898595526572","0.181545484880538"
"HAR","11","22","0.10727893538691","0.069396457253927","0.126600330553884","0.090618121446854","0.109249432157162","0.100552945449097","0.0819804815721025","0.0930411132857551"
"HOH","11","22","0.216315345092213","0.216231220086119","0.718376836250993","0.0560898706322205","0.111611413412634","0.0935250498455446","0.103254286239487","0.0919346673413686"
"HSH","12","25","0.435194448793661","0.487569132431866","0.897699555458836","0.270748543802397","0.293633882978035","0.323746250415491","0.313346391210508","0.316814103969006"
"JHH","2","5","0.137826022287267","0.14017191984515","0.101037761327622","0.175432513740404","0.184693114119463","0.170165764013853","0.192014194027329","0.192553056369803"
"JKP","4","7","0.131031659749933","0.281294779995905","0.23996634529477","0.0533542466958577","0.0644590253182293","0.063195651743131","0.0881173793244302","0.0955985769230009"
"KAP","12","23","0.135040156162537","0.19553444804787","0.357635905037855","0.0895052499624365","0.0924269879817223","0.091798234201691","0.104223246441015","0.109386360226592"
"LAW","4","8","0.0822092725459188","0.249310617887895","0.0711645432190577","0.031655363215533","0.0452145102426002","0.0416633903354544","0.0424344907381665","0.0357966457242698"
"LVL","17","35","0.266687816860124","0.418946941639047","0.647400595433271","0.237796819934916","0.271060409015276","0.287861774885255","0.242346914260008","0.240656497323451"
"MHP","10","21","0.144212196692382","0.14417077389779","0.263852073545727","0.131241825939796","0.14652432415018","0.150764717360287","0.141720596398454","0.217707640647696"
"MRF","5","10","0.2717542637334","0.324484239606654","0.247697301391191","0.24383492251071","0.278388821598312","0.252289295839985","0.259478059581308","0.264517367649677"
"OHE","10","19","0.0794403656224836","0.175828608742133","0.132000937005573","0.061868596173065","0.0683309127354673","0.0690264495111045","0.0614550170771232","0.0620526874061065"
"RGL","3","5","0.0691882137470373","0.123333616984468","0.116924464786465","0.137168640616372","0.122153586128648","0.129769263029891","0.125586617467406","0.114694934982972"
"SAL","11","21","0.128344996770856","0.2313358147734","0.233068796409817","0.101638569263318","0.125582078702889","0.0934580612472658","0.148339870020532","0.12800040365438"
"SCB","22","45","0.194509722989927","0.152651165971348","0.162700895809697","0.106093813462545","0.081662298663498","0.0908664562802223","0.108917401602804","0.108872070764592"
"SCX","10","21","0.107048611111111","0.162762344612943","0.27430220647264","0.102521427854575","0.0956517892142231","0.0983754305555554","0.108889574463009","0.103745765248245"
"SLH","4","8","0.101614793778117","0.221918949506628","0.175725303122755","0.168183422332356","0.154980907266117","0.163635240032752","0.161170213975134","0.165168955065119"
"SOS","11","22","0.127110039609801","0.080953269284077","0.189025901027259","0.118424799023256","0.116356679051435","0.11843565223996","0.126843730085319","0.120069640104965"
"STU","7","14","0.0785485957329232","0.139941818075591","0.226580152841432","0.140904022913427","0.145624969503348","0.147445098291459","0.144414332570565","0.147185881154939"
"SWC","11","23","0.134677970743874","0.108178544258467","0.125377626708977","0.0996975176439426","0.094895602363335","0.0907535149411233","0.0981992075160626","0.101157436616251"
"TCC","20","41","0.121438726163159","0.14504011728104","0.0566663069245158","0.0746019670471887","0.120668559323125","0.0944222749399415","0.0554867763196496","0.0562959060901504"
"THH","10","21","0.10852829802191","0.139443512999903","0.20864631474047","0.116851100676256","0.134555656505821","0.0954836616907797","0.0922514742897338","0.107682565220323"
"VKC","19","38","0.229231432236969","0.246743020808743","0.241390049335093","0.16244651381218","0.183220345424177","0.177429010990577","0.161858865320612","0.158313371771096"
"WAH","5","10","0.166999899211131","0.302637244354272","0.323672904781566","0.311280595257383","0.328781973772707","0.329979978994043","0.308229169546617","0.29485891305548"
"WPH","14","28","0.151952882713009","0.135196782646961","0.427224394996704","0.0948961977071742","0.112128850814091","0.109344982932459","0.098823235236649","0.0973787227434729"
"Avg Error","317","635",NA,"0.196089173318539","0.286990154961237","0.127671998350182","0.13695262039017","0.135322201266274","0.137536268997143","0.138203253682155"
"Std. dev Error","317","635",NA,"0.0947138024506532","0.255865752936267","0.0672364517025203","0.0712899485416205","0.0734487106153567","0.0688032995401236","0.0699068855909681"
