Building Key,Building Code
1,ADM
3,WPH
3.1,SOS
4,VKC
5,YWC
7,LAW
8,BRI
10,CEM
11,ABX
12,CCC
14,AHN
15,CAS
16,HER
17,NTT
18,DML
19,GER
20,SCD
22,HMR
23,BHE
24,VHE
25,MCC
27,PHE
29,WAH
31,SHC
32,ASC
35,THH
37,AHF
38,HAR
40,OCW
40.1,LJS
41,MRF
42,KER
44,ACC
45,MHP
46,ALM
47,JEP
48,SSC
49,SSL
52,ECT
55,WTO
56,FLT
59,CWT
63,FAM
64,DEN
65,PED
67,RMR
68,BMT
69,NML
70,KAM
71,PSC
72,HED
73,BDF
74,ZHS
75,URC
76,NCT
78,SAL
79,DRC
80,TYL
81,NOR
83,RHM
84,BIT
85,MUS
86,UPH
87,DCC
88,BSR
89,STU
91,JHH
93,MTS
94,DXM
96,EDM
97,KCH
98,CAP
99,EVK
99.1,HRH
100,COL
100.1,URH
102,CWO
105,HSH
106,SGM
108,MMR
108.1,MCH
108.6,MCA
111,DRB
112,TGF
113,ABA
114,STO
116,FAC
117,PKS
119,RRB
120,TRO
121,PCE
126,FIG
127,CLH
128,MAC
129,JEF
130,FML
133,PSX
134,SHS
135,SLH
138,CRW
139,PRB
141,REG
142,HOH
143,DTD
144,BMH
145,OHE
147,SRH
148,ACB
148.1,ACX
149,DMT
150,SCF
151,LCA
152,BTP
153,RAN
154,EDL
156,DCF
157,AEP
158,ONE
159,HRC
160,HHR
162,PSD
163,ELB
164,PSO
166,LHI
167,IMS
168,FMT
169,GFS
170,PMB
171,GEH
171.1,GEX
172,JMA
173,TPA
174,RTA
175,CAR
176,TRH
177,URA
178,HIL
179,FSA
180,TAP
181,HAP
183,CSB
184,CEN
185,ANH
186,SIE
187,TSA
188,PCA
189,PTD
190,HSP
191,PSA
192,PSB
193,TSS
194,MAB
195,SAI
196,GAH
197,RZC
199,UPX
200,MSC
201,MSR
202,MTT
203,THR
204,WIH
205,MST
206,WDH
207,DLC
208,HCB
209,CAB
210,DLT
211,DLO
212,MTA
220,LPB
221.1,CTC
222,SSS
223,CSS
224,CTV
225,CLN
226,AGO
227,SNA
228,KOH
229,LAB
230,CFH
231,SPA
232,CNG
233,EPS
234,SSH
235,SSB
236,GAP
237,ZMT
238,PST
239,ROY
240,VIS
241,BAA
241.1,RGA
242,SGA
243,RYL
244,WIN
245,SUN
246,CST
247,CSC
249,CSA
250,LRC
251,KAB
252,HNB
253,KAP
254,BKS
255,CHP
256,EEB
257,LVL
258,DMV
258.1,TMY
259,FPM
260,MBC
261,EGG
262,RGL
263,JKP
264,FMH
265,COH
266,BCC
267,UGB
268,UVI
269,HCC
270,SAC
271,RMH
272,RHR
275,SST
276,LTS
277,IRC
278,CPT
281,CAL
282,ZNI
283,SWC
284,OCC
287,HCT
288,NRT
289,GEC
290,RTH
291,RRI
292,DNI
294,SCA
295,BCH
296,TTL
298,VWB
300,MCT
310,TCC
311,CHA
312,SCB
313,SCC
314,SCX
315,SCE
316,CDF
317,FTT
318,FRR
319,TSH
320,HSR
323,SKS
351,FRE
401,UPV
402,PSV
403,HSV
404,EVA
405,EVB
406,EVH
407,TES
408,CLV
409,GTT
501,BKF
502,BDX
505,MTX
506,IMF
507,CFX
508,TCX
509,SMF
510,HJF
511,GPC
602,BAB
603,GNH
605,HRA
606,FOB
607,BAR
608,CRL
609,DOH
610,DEI
611,GLB
612,GRH
613,HMH
614,HPH
615,CLB
616,ISI
617,LRB
618,MOL
619,OPD
620,PHH
621,PIH
622,TOW
623,UUC
624,WOH
625,CAH
626,CHL
627,GSM
628,ORH
631,IRD
632,RSC
633,ISE
634,SCP
635,HSA
636,NCC
637,SHR
640,UNH
641,MPI
642,UHP
643,TRC
644,BTL
645,HUC
646,FPC
647,SPS
648,GSS
649,BLA
650,RYO
651,RYT
652,VBB
654,SSA
655,PGV
656,IFT
657,PGD
658,PGT
659,PGF
660,LRA
661,WWB
662,SHE
664,UNA
665,THB
668,ICT
669,CBG
670,MVA
672,CRA
673,VEC
674,CRB
675,SVB
676,APS
677,NLC
678,ABM
679,BFT
680,CEP
681,EHP
682,MLP
683,PPL
684,FSP
685,FAB
688,CPB
690,CDB
691,MVB
692,LBP
693,LMJ
694,RHC
695,MTN
696,MTR
697,WJC
698,PAV
699,APP
700,CGC
701,WDC
702,CUB
703,CFB
704,ATT
705,MSE
706,CKB
707,ELS
708,NMA
709,TCD
710,MFT
711,GTL
712,WCC
713,GFM
714,BDB
716,BUN
717,CHE
718,COR
719,HAS
720,PIA
721,ROM
722,TUS
723,ACD
724,SMB
725,JMC
726,ATB
727,UGW
728,WMB
801,TDF
901,WWG
902,PWE
903,TFE
904,PLB
905,MCE
906,DWE
907,GSE
908,GEE
915,SSP
